#layer 1	layer 2	layer 3	layer 4	layer 5	layer 6	layer 7	layer 8	BandID	phiID
1023	1023	1024	1024	1024	1024	1006	1006	11	52
1023	1023	1024	1024	1024	1024	1007	1007	11	52
1023	1023	1024	1024	1024	1024	1024	1024	11	46
1023	1023	1024	1024	1024	1024	1025	1025	11	46
1041	1023	1042	1024	1024	1024	1024	1024	11	41
1041	1023	1042	1024	1024	1024	1025	1025	11	41
1041	1023	1042	1024	1042	1042	1024	1024	11	34
1041	1023	1042	1024	1042	1042	1025	1025	11	34
1041	1041	1042	1042	1042	1042	1024	1024	11	29
1041	1041	1042	1042	1042	1042	1025	1025	11	29
1041	1041	1042	1042	1042	1042	1042	1042	11	24
1041	1041	1042	1042	1042	1042	1043	1043	11	24
1059	1041	1060	1042	1042	1042	1042	1042	11	18
1059	1041	1060	1042	1042	1042	1043	1043	11	18
1059	1041	1060	1042	1060	1060	1042	1042	11	12
1059	1041	1060	1042	1060	1060	1043	1043	11	12
1059	1059	1060	1060	1060	1060	1042	1042	11	4
1059	1059	1060	1060	1060	1060	1043	1043	11	4
1024	1006	1024	1006	1024	1024	1007	1007	12	57
1024	1006	1024	1006	1025	1025	1007	1007	12	57
1024	1024	1024	1024	1024	1024	1007	1007	12	52
1024	1024	1024	1024	1024	1024	1025	1025	12	46
1024	1024	1024	1024	1025	1025	1007	1007	12	52
1024	1024	1024	1024	1025	1025	1025	1025	12	46
1042	1024	1042	1024	1024	1024	1025	1025	12	41
1042	1024	1042	1024	1025	1025	1025	1025	12	41
1042	1024	1042	1024	1042	1042	1025	1025	12	34
1042	1024	1042	1024	1043	1043	1025	1025	12	34
1042	1042	1042	1042	1042	1042	1025	1025	12	29
1042	1042	1042	1042	1042	1042	1043	1043	12	24
1042	1042	1042	1042	1043	1043	1025	1025	12	29
1042	1042	1042	1042	1043	1043	1043	1043	12	24
1060	1042	1060	1042	1042	1042	1043	1043	12	18
1060	1042	1060	1042	1043	1043	1043	1043	12	18
1060	1042	1060	1042	1060	1060	1043	1043	12	12
1060	1042	1060	1042	1061	1061	1043	1043	12	12
1060	1060	1060	1060	1060	1060	1043	1043	12	4
1060	1060	1060	1060	1061	1061	1043	1043	12	4
1024	1006	1025	1007	1025	1025	1007	1007	13	57
1024	1006	1025	1007	1025	1025	1008	1008	13	57
1024	1024	1025	1025	1025	1025	1007	1007	13	52
1024	1024	1025	1025	1025	1025	1008	1008	13	52
1024	1024	1025	1025	1025	1025	1025	1025	13	46
1024	1024	1025	1025	1025	1025	1026	1026	13	46
1042	1024	1043	1025	1025	1025	1025	1025	13	41
1042	1024	1043	1025	1025	1025	1026	1026	13	41
1042	1024	1043	1025	1043	1043	1025	1025	13	34
1042	1024	1043	1025	1043	1043	1026	1026	13	34
1042	1042	1043	1043	1043	1043	1025	1025	13	29
1042	1042	1043	1043	1043	1043	1026	1026	13	29
1042	1042	1043	1043	1043	1043	1043	1043	13	24
1042	1042	1043	1043	1043	1043	1044	1044	13	24
1060	1042	1061	1043	1043	1043	1043	1043	13	18
1060	1042	1061	1043	1043	1043	1044	1044	13	18
1060	1042	1061	1043	1061	1061	1043	1043	13	12
1060	1042	1061	1043	1061	1061	1044	1044	13	12
1060	1060	1061	1061	1061	1061	1043	1043	13	4
1060	1060	1061	1061	1061	1061	1044	1044	13	4
1025	1007	1025	1007	1025	1025	1008	1008	14	57
1025	1007	1025	1007	1026	1026	1008	1008	14	57
1025	1025	1025	1025	1025	1025	1008	1008	14	52
1025	1025	1025	1025	1025	1025	1026	1026	14	46
1025	1025	1025	1025	1026	1026	1008	1008	14	52
1025	1025	1025	1025	1026	1026	1026	1026	14	46
1043	1025	1043	1025	1025	1025	1026	1026	14	41
1043	1025	1043	1025	1026	1026	1026	1026	14	41
1043	1025	1043	1025	1043	1043	1026	1026	14	34
1043	1025	1043	1025	1044	1044	1026	1026	14	34
1043	1043	1043	1043	1043	1043	1026	1026	14	29
1043	1043	1043	1043	1043	1043	1044	1044	14	24
1043	1043	1043	1043	1044	1044	1026	1026	14	29
1043	1043	1043	1043	1044	1044	1044	1044	14	24
1061	1043	1061	1043	1043	1043	1044	1044	14	18
1061	1043	1061	1043	1044	1044	1044	1044	14	18
1061	1043	1061	1043	1061	1061	1044	1044	14	12
1061	1043	1061	1043	1062	1062	1044	1044	14	12
